OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.10749133676290512" 
0, mujets, up, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.11036036163568497" 
1, comb, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.964556" 
1, comb, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.964556" 
1, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.964556-0.092256210744380951" 
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.964556-0.099224433302879333" 
1, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.964556-0.086980618536472321" 
1, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.964556-0.10767967998981476" 
1, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.964556-0.19037170708179474" 
1, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.964556-0.16581876575946808" 
1, comb, down, 1, -2.4, 2.4, 300, 670, 0, 1, "0.964556-0.24901024997234344" 
1, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.964556-0.046128105372190475" 
1, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.964556-0.049612216651439667" 
1, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.964556-0.04349030926823616" 
1, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.964556-0.053839839994907379" 
1, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.964556-0.095185853540897369" 
1, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.964556-0.082909382879734039" 
1, comb, down, 0, -2.4, 2.4, 300, 670, 0, 1, "0.964556-0.12450512498617172" 
1, comb, up, 1, -2.4, 2.4, 30, 50, 0, 1, "0.964556+0.092256210744380951" 
1, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "0.964556+0.099224433302879333" 
1, comb, up, 1, -2.4, 2.4, 70, 100, 0, 1, "0.964556+0.086980618536472321" 
1, comb, up, 1, -2.4, 2.4, 100, 140, 0, 1, "0.964556+0.10767967998981476" 
1, comb, up, 1, -2.4, 2.4, 140, 200, 0, 1, "0.964556+0.19037170708179474" 
1, comb, up, 1, -2.4, 2.4, 200, 300, 0, 1, "0.964556+0.16581876575946808" 
1, comb, up, 1, -2.4, 2.4, 300, 670, 0, 1, "0.964556+0.24901024997234344" 
1, comb, up, 0, -2.4, 2.4, 30, 50, 0, 1, "0.964556+0.046128105372190475" 
1, comb, up, 0, -2.4, 2.4, 50, 70, 0, 1, "0.964556+0.049612216651439667" 
1, comb, up, 0, -2.4, 2.4, 70, 100, 0, 1, "0.964556+0.04349030926823616" 
1, comb, up, 0, -2.4, 2.4, 100, 140, 0, 1, "0.964556+0.053839839994907379" 
1, comb, up, 0, -2.4, 2.4, 140, 200, 0, 1, "0.964556+0.095185853540897369" 
1, comb, up, 0, -2.4, 2.4, 200, 300, 0, 1, "0.964556+0.082909382879734039" 
